id    | role    | slots                          | source                                   | destination                              | 
2581  | rider   |                     [8, 9, 10] | (-122.00752946065595, 37.557401509402055) | (-122.23013256485726, 37.47213745297975) | 
2582  | rider   |                       [11, 12] | (-122.00633319086418, 37.557594893852155) | (-122.2235638696919, 37.49083400250881) | 
2583  | rider   |                            [5] | (-121.9754193757841, 37.560030515529796) | (-122.06119771339188, 37.39734503072325) | 
2584  | rider   |                            [6] | (-121.9329522547674, 37.50401341796254) | (-122.14212389811892, 37.46714795664067) | 
2585  | rider   |                   [11, 12, 13] | (-121.93368377398174, 37.49958309169925) | (-122.12782916372822, 37.49405267932276) | 
2586  | rider   |                         [3, 4] | (-121.97741142755947, 37.55283489560455) | (-122.09491149542072, 37.37854304127513) | 
2587  | rider   |                      [6, 7, 8] | (-121.94355882568061, 37.505795764471365) | (-122.2464352142463, 37.4635930702025) | 
2588  | rider   |                         [6, 7] | (-122.00626487822296, 37.55958739676388) | (-122.11140920423902, 37.48740016009815) | 
2589  | driver  |                   [11, 12, 13] | (-121.9414281230383, 37.50053434189667) | (-122.20379212538502, 37.470361973735685) | 
2590  | rider   |                    [9, 10, 11] | (-122.0006490165247, 37.56060796529975) | (-122.26443611402061, 37.49383929618449) | 
2591  | driver  |                         [6, 7] | (-122.00369662800563, 37.56074315914222) | (-122.10866115587245, 37.38386304552276) | 
2592  | rider   |                       [12, 13] | (-121.95263715316759, 37.53057640488839) | (-122.22738207643987, 37.47625919212124) | 
2593  | rider   |                   [5, 6, 7, 8] | (-121.93918983015008, 37.50192351370562) | (-122.08245036140946, 37.38421322899882) | 
2594  | rider   |               [10, 11, 12, 13] | (-121.97485634141206, 37.55941379077941) | (-122.22706026109137, 37.44845627419783) | 
2595  | rider   |                         [4, 5] | (-122.0116219292481, 37.55851041636557) | (-122.12504890820256, 37.45760187935872) | 
2596  | rider   |                        [9, 10] | (-122.01009994619187, 37.557413729567706) | (-122.0756492055779, 37.412696708628886) | 
2597  | rider   |                 [8, 9, 10, 11] | (-121.93344220887727, 37.498118373152984) | (-122.21768525433191, 37.48417350251071) | 
2598  | driver  |                      [7, 8, 9] | (-121.94987093597483, 37.526676367282064) | (-122.23507523732786, 37.483054840541534) | 
2599  | driver  |                   [5, 6, 7, 8] | (-122.0038040026277, 37.55809956502108) | (-122.24347030165993, 37.454813060130604) | 
2600  | driver  |                     [8, 9, 10] | (-121.93703786772092, 37.49997978422766) | (-122.13384499727049, 37.467258394283476) | 
2601  | driver  |                [3, 4, 5, 6, 7] | (-121.94986722151788, 37.5267067373573) | (-122.14967925880892, 37.47109535656775) | 
2602  | driver  |                   [4, 5, 6, 7] | (-121.93973016228227, 37.50414747343495) | (-122.11147620974455, 37.458408402970704) | 
2603  | rider   |                      [4, 5, 6] | (-121.9541476383022, 37.533723762197) | (-122.23863013182913, 37.48621618891797) | 
2604  | driver  |               [6, 7, 8, 9, 10] | (-122.00234490869217, 37.55243854861361) | (-122.14852267597043, 37.48391843076154) | 
2605  | rider   |                     [8, 9, 10] | (-121.93535152236139, 37.499836332703005) | (-122.24557939539824, 37.45988904749326) | 
2606  | rider   |                       [12, 13] | (-121.9508564219637, 37.52992263111745) | (-122.07914526162229, 37.374906764876386) | 
2607  | rider   |                         [8, 9] | (-121.9567378148843, 37.53437144018457) | (-122.08833904999416, 37.384612975645986) | 
2608  | rider   |         [4, 5, 6, 7, 8, 9, 10] | (-121.97702276363611, 37.557610663172554) | (-122.1396270916771, 37.452395662904195) | 
2609  | driver  |                           [10] | (-122.0077733533424, 37.558502024736576) | (-122.22661087329762, 37.52118061679491) | 
2610  | driver  |                         [5, 6] | (-121.93819104573963, 37.50457889601915) | (-122.24707421748525, 37.46983312460571) | 
2611  | driver  |          [2, 3, 4, 5, 6, 7, 8] | (-121.93973920544703, 37.49889544331113) | (-122.2558233594885, 37.489596302629224) | 
2612  | rider   |                            [3] | (-121.93778771112582, 37.497952915259596) | (-122.24960276710249, 37.46423503885732) | 
2613  | rider   |                      [5, 6, 7] | (-121.93433188440396, 37.49765899826921) | (-122.23477815436772, 37.48705350391436) | 
2614  | driver  |                      [7, 8, 9] | (-122.01041159354719, 37.553103472814435) | (-122.1354104657747, 37.458612929011004) | 
2615  | driver  |                   [10, 11, 12] | (-121.95501470773942, 37.53382852738657) | (-122.1562218684757, 37.46933323280363) | 
2616  | driver  |                   [3, 4, 5, 6] | (-122.00354776533078, 37.562243995210075) | (-122.07389357374394, 37.34940770031043) | 
2617  | rider   |                     [8, 9, 10] | (-121.94215601047364, 37.49922078436406) | (-122.12106536506433, 37.441337404654206) | 
2618  | rider   |                         [5, 6] | (-121.9771212419156, 37.55762618769907) | (-122.13745510070339, 37.453672566152164) | 
2619  | rider   |          [7, 8, 9, 10, 11, 12] | (-121.94900596055281, 37.53637093167015) | (-122.14801200209368, 37.45779870132073) | 
2620  | rider   |                            [5] | (-121.9770714490226, 37.55573265238885) | (-122.25149500349481, 37.50952174576591) | 
2621  | rider   |                [9, 10, 11, 12] | (-121.94231132384566, 37.504703026618955) | (-122.22576369902733, 37.47871453781535) | 
2622  | driver  |                      [5, 6, 7] | (-121.97944143757518, 37.55385100616894) | (-122.1523538437354, 37.452812324294456) | 
2623  | rider   |                      [4, 5, 6] | (-121.94173316858394, 37.507318262563054) | (-122.2618598052769, 37.46434282945541) | 
2624  | rider   |                         [5, 6] | (-121.93216693870815, 37.502194579952224) | (-122.07628965937218, 37.39603943924533) | 
2625  | rider   |                      [6, 7, 8] | (-121.95314799294717, 37.532323179237586) | (-122.05760140839575, 37.357928554139995) | 
2626  | rider   |                [1, 2, 3, 4, 5] | (-122.00665499841712, 37.56140998023869) | (-122.16014568237945, 37.486295673589645) | 
2627  | driver  |          [2, 3, 4, 5, 6, 7, 8] | (-121.94482426222446, 37.4974943234623) | (-122.08678835011692, 37.39738868650944) | 
2628  | driver  |                      [4, 5, 6] | (-121.93796249111367, 37.50302803947101) | (-122.22940344306673, 37.47745977892976) | 
2629  | rider   |         [8, 9, 10, 11, 12, 13] | (-121.95713034298333, 37.538054482110795) | (-122.10679363070248, 37.390247538438885) | 
2630  | rider   |                      [3, 4, 5] | (-121.95486317080426, 37.52911120610662) | (-122.09949169226329, 37.395817520910924) | 
2631  | driver  |                         [8, 9] | (-121.9396927781477, 37.50261171808377) | (-122.07224510414, 37.399869535002914) | 
2632  | rider   |                   [5, 6, 7, 8] | (-121.95297526924757, 37.53322113520662) | (-122.04928278620764, 37.39243454067479) | 
2633  | rider   |                         [8, 9] | (-121.95211604074645, 37.529085063420816) | (-122.260526446734, 37.45839385143636) | 
2634  | rider   |                 [8, 9, 10, 11] | (-122.00557198675631, 37.5569742560813) | (-122.23785725689193, 37.4846152334044) | 
2635  | rider   |                   [10, 11, 12] | (-121.95042142152066, 37.53281397824142) | (-122.20852479406209, 37.49772437354213) | 
2636  | driver  |               [6, 7, 8, 9, 10] | (-121.93737414242788, 37.506807162926734) | (-122.07251970503816, 37.34457254900778) | 
2637  | rider   |                   [12, 13, 14] | (-121.97835783130375, 37.556230130083385) | (-122.23613878396455, 37.48785188099072) | 
2638  | rider   |                         [5, 6] | (-121.95231817145687, 37.534261480311955) | (-122.25645854384123, 37.524195850669166) | 
2639  | rider   |                   [5, 6, 7, 8] | (-121.95674564944302, 37.532463367318044) | (-122.22269673443554, 37.47827316258841) | 
2640  | driver  |                       [11, 12] | (-121.9786138786841, 37.56435827824428) | (-122.15828781406249, 37.4955001803437) | 
2641  | rider   |                   [12, 13, 14] | (-121.97378577954387, 37.556595566916606) | (-122.21674648190765, 37.49038560579405) | 
2642  | driver  |               [11, 12, 13, 14] | (-121.97702542555272, 37.559789657848675) | (-122.23630488589882, 37.48746401723895) | 
2643  | rider   |                         [4, 5] | (-121.9542792272244, 37.52948035078283) | (-122.25068716689925, 37.46067532159365) | 
2644  | rider   |                      [2, 3, 4] | (-122.00428918124874, 37.55853163228391) | (-122.23770791754934, 37.5170107718839) | 
2645  | rider   |             [3, 4, 5, 6, 7, 8] | (-121.97976072314492, 37.558960734645154) | (-122.07743539661443, 37.4191400448536) | 
2646  | rider   |                      [4, 5, 6] | (-121.97672074611526, 37.558726594990496) | (-122.1348917356562, 37.44998435322725) | 
2647  | rider   |             [4, 5, 6, 7, 8, 9] | (-122.00247440679345, 37.557695918316085) | (-122.11830220283541, 37.39059294479525) | 
2648  | rider   |                   [10, 11, 12] | (-121.9369113340463, 37.50191110972872) | (-122.23960374824667, 37.485475424859686) | 
2649  | rider   |                [5, 6, 7, 8, 9] | (-121.94690071813685, 37.529104670739414) | (-122.10688104851751, 37.459580643191) | 
2650  | rider   |                   [10, 11, 12] | (-121.93547034523495, 37.49865801885853) | (-122.24418873319767, 37.482884548992494) | 
2651  | rider   |                    [9, 10, 11] | (-121.93795212006344, 37.50468294018091) | (-122.23605967510156, 37.488233871208095) | 
2652  | rider   |                   [5, 6, 7, 8] | (-121.97537570353586, 37.5611221545959) | (-122.06696631993698, 37.36354278255813) | 
2653  | driver  |                   [6, 7, 8, 9] | (-121.93657039660583, 37.50071009188511) | (-122.05869544366186, 37.38951530305293) | 
2654  | driver  |                      [6, 7, 8] | (-121.97931091732953, 37.55761544675485) | (-122.15244661862229, 37.47439473124076) | 
2655  | rider   |                     [8, 9, 10] | (-121.95392610719134, 37.53244285517926) | (-122.20919704097538, 37.470422402541004) | 
2656  | driver  |                     [8, 9, 10] | (-121.93639810773821, 37.501655925317976) | (-122.14909651637664, 37.47242627600389) | 
2657  | rider   |                            [8] | (-121.93749901802465, 37.50188797981764) | (-122.04131450754224, 37.38681142300025) | 
2658  | driver  |                   [11, 12, 13] | (-121.95721651884368, 37.53499813938) | (-122.1315196738959, 37.46875677233265) | 
2659  | rider   |         [8, 9, 10, 11, 12, 13] | (-121.95511935705169, 37.53699576989301) | (-122.07283904079691, 37.381801410486524) | 
2660  | driver  |                [3, 4, 5, 6, 7] | (-121.9788564043538, 37.56044873245395) | (-122.23447036010394, 37.51593512894605) | 
2661  | rider   |                        [9, 10] | (-121.9793890067898, 37.555089920286825) | (-122.11466723194567, 37.382868489360966) | 
2662  | driver  |                [4, 5, 6, 7, 8] | (-121.95208385706277, 37.529908782676245) | (-122.27479423733047, 37.476170507072986) | 
2663  | rider   |                [9, 10, 11, 12] | (-121.95371257862496, 37.5322056288836) | (-122.20480479256412, 37.474991958156174) | 
2664  | rider   |                      [4, 5, 6] | (-121.94115222671356, 37.50847275541897) | (-122.11441685185923, 37.40347857467568) | 
2665  | rider   |                   [10, 11, 12] | (-121.9525762644273, 37.532662949419205) | (-122.23539210608084, 37.477590541788075) | 
2666  | rider   |                       [12, 13] | (-121.94606875026253, 37.50019326711058) | (-122.2352469201337, 37.487836640276555) | 
2667  | driver  |                           [11] | (-122.00790513742245, 37.55812896853703) | (-122.07952779827954, 37.39530055532176) | 
2668  | driver  |                      [4, 5, 6] | (-121.95437097260869, 37.53110125529181) | (-122.26678994817735, 37.4753873497145) | 
2669  | rider   |          [3, 4, 5, 6, 7, 8, 9] | (-122.0095073316812, 37.562595504151396) | (-122.1411147435482, 37.47016641829169) | 
2670  | driver  |                [1, 2, 3, 4, 5] | (-121.94030663198676, 37.50194354478813) | (-122.09986736019863, 37.38370354535587) | 
2671  | rider   |                      [5, 6, 7] | (-122.00703131031105, 37.55591098420805) | (-122.25407558612237, 37.49861425927008) | 
2672  | driver  |                       [10, 11] | (-122.01387804898224, 37.55995823812234) | (-122.0521330193625, 37.36438600504542) | 
2673  | rider   |                     [8, 9, 10] | (-121.96022579588985, 37.5310765588932) | (-122.06720864647069, 37.385794834890504) | 
2674  | rider   |                  [7, 8, 9, 10] | (-122.00814261582543, 37.55807849491504) | (-122.08541160437281, 37.38224190354292) | 
2675  | rider   |    [5, 6, 7, 8, 9, 10, 11, 12] | (-121.94234466244038, 37.50409220417346) | (-122.21638479579714, 37.50788700554082) | 
2676  | rider   |                      [3, 4, 5] | (-121.97992762460964, 37.55638364847034) | (-122.11905822709139, 37.493393249803674) | 
2677  | rider   |          [7, 8, 9, 10, 11, 12] | (-121.95317094822693, 37.53244016744409) | (-122.08834810967518, 37.37700360854537) | 
2678  | rider   |                         [6, 7] | (-121.95836353896378, 37.53420397928192) | (-122.23414984951074, 37.48845301595983) | 
2679  | rider   |               [11, 12, 13, 14] | (-122.00580206329876, 37.5625361212099) | (-122.22888964454886, 37.48722306195657) | 
2680  | rider   |                         [6, 7] | (-121.9585332612482, 37.53076027815511) | (-122.25212000293503, 37.493523898246195) | 
2681  | driver  |             [8, 9, 10, 11, 12] | (-121.97649091798404, 37.558259905162735) | (-122.14930230998526, 37.46603275584146) | 
2682  | driver  |                   [4, 5, 6, 7] | (-121.93536903114959, 37.50025386254746) | (-122.25655949915054, 37.50219452891142) | 
2683  | driver  |                         [7, 8] | (-121.9511535295303, 37.534047612812394) | (-122.14204977655493, 37.469179417491475) | 
2684  | rider   |                     [8, 9, 10] | (-121.97464180413745, 37.55557670688188) | (-122.15765358509245, 37.459692443377236) | 
2685  | rider   |                [9, 10, 11, 12] | (-121.9781031845646, 37.557895589291626) | (-122.22557362026008, 37.48320823280038) | 
2686  | driver  |                           [11] | (-122.00309989971585, 37.560455617751174) | (-122.1512172228954, 37.50228310241498) | 
2687  | driver  |               [6, 7, 8, 9, 10] | (-121.93785392261977, 37.50279126262189) | (-122.04097641470966, 37.37191457317437) | 
2688  | rider   |               [11, 12, 13, 14] | (-121.94079409293117, 37.502279937661115) | (-122.24864674828471, 37.50725053552482) | 
2689  | driver  |                        [9, 10] | (-122.00403509908224, 37.551499707396665) | (-122.11315563976198, 37.47913247042154) | 
2690  | driver  |                      [5, 6, 7] | (-121.97178366780496, 37.56181542529472) | (-122.23074292783592, 37.50507959101283) | 
2691  | rider   |                           [10] | (-121.9554471871473, 37.53243724832667) | (-122.23670937022423, 37.46144497376363) | 
2692  | driver  |                 [8, 9, 10, 11] | (-121.95530799714574, 37.525784798154284) | (-122.07091851510962, 37.36713980683671) | 
2693  | driver  |                       [11, 12] | (-121.98125898946545, 37.561041891799086) | (-122.25456290410739, 37.500232197793665) | 
2694  | driver  |                        [9, 10] | (-121.9771768963253, 37.55770372987903) | (-122.17365009270638, 37.45227591232017) | 
2695  | rider   |                      [6, 7, 8] | (-121.97738733410239, 37.55797317897094) | (-122.07418707568426, 37.35808883356787) | 
2696  | driver  |                        [9, 10] | (-121.95751929183129, 37.532888408150384) | (-122.08136187259417, 37.385574767227645) | 
2697  | driver  |                         [5, 6] | (-122.00564313580423, 37.56013458043513) | (-122.15831611766774, 37.44180531095153) | 
2698  | rider   |                         [3, 4] | (-121.93911702775247, 37.50180660774315) | (-122.1643268822546, 37.4626516399044) | 
2699  | driver  |     [4, 5, 6, 7, 8, 9, 10, 11] | (-121.95118929423238, 37.527554166881366) | (-122.07809718041, 37.390342334597946) | 
2700  | rider   |                   [4, 5, 6, 7] | (-121.94244063676683, 37.50091210943833) | (-122.13355425820457, 37.438976106962635) | 
2701  | rider   |                      [6, 7, 8] | (-121.94539104834935, 37.50332912308886) | (-122.26831134037799, 37.46265902206943) | 
2702  | driver  |                         [7, 8] | (-121.93970812682251, 37.50237932925966) | (-122.10446106368222, 37.386582125957126) | 
2703  | rider   |                            [8] | (-121.95202548857124, 37.5376369725107) | (-122.23390412482733, 37.501168159668204) | 
2704  | rider   |                    [9, 10, 11] | (-122.00945687607786, 37.563877293264376) | (-122.08097200551921, 37.4267522871576) | 
2705  | driver  |                            [4] | (-122.00591575247246, 37.55132198877911) | (-122.23971419269733, 37.47369756248243) | 
2706  | driver  |                     [8, 9, 10] | (-121.97890693070826, 37.561191549407056) | (-122.06399604023161, 37.38168965885683) | 
2707  | driver  |      [3, 4, 5, 6, 7, 8, 9, 10] | (-122.01199546374326, 37.55525132018737) | (-122.14780322385174, 37.498865796667324) | 
2708  | driver  |                       [10, 11] | (-121.94651686109499, 37.50119454107978) | (-122.08405068766415, 37.387282241467084) | 
2709  | driver  |                      [5, 6, 7] | (-121.95633278974668, 37.53033630946134) | (-122.09894439174468, 37.385997877234054) | 
2710  | rider   |                         [7, 8] | (-121.97779505309654, 37.555951335705984) | (-122.23362653727044, 37.48512401645803) | 
2711  | driver  |                    [9, 10, 11] | (-121.94670999624837, 37.53468961597875) | (-122.04894611553998, 37.37804305667648) | 
2712  | rider   |                       [10, 11] | (-121.93711474681443, 37.501414013034655) | (-122.1269710375089, 37.44091888202815) | 
2713  | driver  |                   [10, 11, 12] | (-122.00844727607313, 37.55923439420028) | (-122.14424294585645, 37.475499765117526) | 
2714  | rider   |                        [9, 10] | (-121.95179883345085, 37.5276789909879) | (-122.051020153388, 37.38256114968849) | 
2715  | rider   |                   [2, 3, 4, 5] | (-121.97649847793834, 37.558551398992606) | (-122.09633687921122, 37.36462975021592) | 
2716  | driver  |                         [3, 4] | (-121.9389769180104, 37.50410845119766) | (-122.1439213799124, 37.468348605144605) | 
2717  | rider   |                            [2] | (-121.98173505932454, 37.55407277056379) | (-122.07797061383823, 37.42507788060246) | 
2718  | driver  |               [11, 12, 13, 14] | (-121.94130485914035, 37.50243233199297) | (-122.10413324300357, 37.474562186492136) | 
2719  | rider   |                [3, 4, 5, 6, 7] | (-121.97922741562662, 37.55709027364537) | (-122.14073755884012, 37.46319125865864) | 
2720  | driver  |                   [5, 6, 7, 8] | (-121.94141358015952, 37.50277426058205) | (-122.07737805041336, 37.36370145129174) | 
2721  | rider   |                         [8, 9] | (-122.01298556882792, 37.56198959596284) | (-122.08308555146172, 37.39188884348886) | 
2722  | driver  |     [8, 9, 10, 11, 12, 13, 14] | (-122.00762834936384, 37.55110301038537) | (-122.24499921730151, 37.48973272695695) | 
2723  | driver  |                         [3, 4] | (-122.00539168855269, 37.55799489140934) | (-122.07211725967724, 37.38323833787595) | 
2724  | rider   |                            [7] | (-121.95640460702349, 37.529805827665456) | (-122.05300932441087, 37.4099410192433) | 
2725  | driver  |                   [2, 3, 4, 5] | (-121.93830646412617, 37.50277719114289) | (-122.1384121183427, 37.49655481260703) | 
2726  | rider   |                   [5, 6, 7, 8] | (-121.9380411538196, 37.496464167166515) | (-122.05585820353764, 37.37464081108331) | 
2727  | rider   |                   [2, 3, 4, 5] | (-122.00877686124574, 37.56212075145018) | (-122.21662013895306, 37.49652810387466) | 
2728  | driver  |                         [7, 8] | (-121.953212487444, 37.53232065798757) | (-122.0773134431548, 37.37162298480734) | 
2729  | rider   |                      [6, 7, 8] | (-121.98067192259191, 37.553194410748745) | (-122.08915885918763, 37.384107829379815) | 
2730  | driver  |                      [6, 7, 8] | (-121.97693397306838, 37.557672216389825) | (-122.2364416290227, 37.48848207244331) | 
2731  | rider   |                         [3, 4] | (-122.00986751723894, 37.55913045576659) | (-122.0938544082699, 37.377962327724646) | 
2732  | driver  |                      [3, 4, 5] | (-122.00966914120717, 37.558467888174484) | (-122.06992911816411, 37.387866450036434) | 
2733  | driver  |                           [11] | (-121.95846599721276, 37.531923541928194) | (-122.10766051688135, 37.36494969782225) | 
2734  | rider   |                         [5, 6] | (-121.94763246934332, 37.53082361127015) | (-122.13721899452037, 37.43123884601697) | 
2735  | rider   |                      [5, 6, 7] | (-121.94188219307418, 37.50078550870611) | (-122.09849226854556, 37.381249666566944) | 
2736  | rider   |                   [3, 4, 5, 6] | (-121.97976906043289, 37.5514812045265) | (-122.08418561504136, 37.384373725863014) | 
2737  | rider   |                   [12, 13, 14] | (-121.94306866193061, 37.50034298862552) | (-122.13829238344195, 37.468498993542305) | 
2738  | rider   |                     [8, 9, 10] | (-121.939183891794, 37.5001169484319) | (-122.11882729161603, 37.36917120514052) | 
2739  | rider   |           [10, 11, 12, 13, 14] | (-121.9481511689154, 37.53380243824217) | (-122.12486342607647, 37.44389557738033) | 
2740  | driver  |                   [5, 6, 7, 8] | (-122.00676235354813, 37.557424119823374) | (-122.17709507935133, 37.44685700609216) | 
2741  | driver  |                         [7, 8] | (-121.95721804786315, 37.52811911924148) | (-122.05260090709521, 37.36584772068106) | 
2742  | driver  |                 [8, 9, 10, 11] | (-121.95043543755227, 37.53396517579152) | (-122.11021134260055, 37.37272710504465) | 
2743  | rider   |                      [2, 3, 4] | (-121.98113574791746, 37.56042522695431) | (-122.14079920256373, 37.46385832838774) | 
2744  | rider   |                         [7, 8] | (-121.9555780821936, 37.52962380162548) | (-122.15118425301172, 37.45861376790567) | 
2745  | rider   |       [2, 3, 4, 5, 6, 7, 8, 9] | (-122.00971965575536, 37.55558405681607) | (-122.2447132061697, 37.49206635271462) | 
2746  | driver  |                       [10, 11] | (-122.01081842940499, 37.55723348795047) | (-122.19942328669235, 37.4893581131149) | 
2747  | driver  |                      [5, 6, 7] | (-122.00306834713764, 37.55458625253739) | (-122.08142166006972, 37.380825234103185) | 
2748  | rider   |                         [5, 6] | (-121.97226906652836, 37.55324440031772) | (-122.15702987049553, 37.48709255758778) | 
2749  | driver  |                         [4, 5] | (-121.9768642188911, 37.55932067181984) | (-122.03868711575161, 37.39093465423046) | 
2750  | rider   |                      [6, 7, 8] | (-122.00692598380948, 37.55160441621483) | (-122.16917975036687, 37.454138393052055) | 
2751  | rider   |                      [7, 8, 9] | (-121.95385404019379, 37.53549148771902) | (-122.14021783529162, 37.458970758063764) | 
2752  | driver  |                         [8, 9] | (-121.9755580300178, 37.56052757867328) | (-122.25866320975726, 37.49462867247294) | 
2753  | rider   |                            [7] | (-121.94705117895586, 37.53035518963094) | (-122.11242215892716, 37.37788905095643) | 
2754  | driver  |                         [7, 8] | (-122.01143230253281, 37.562266429273095) | (-122.06315618274486, 37.378476274445646) | 
2755  | rider   |             [8, 9, 10, 11, 12] | (-121.97418153195069, 37.556311391670896) | (-122.16317073867808, 37.450299678929845) | 
2756  | driver  |                   [10, 11, 12] | (-121.94017425105028, 37.505249943947064) | (-122.20091562855895, 37.4962438171486) | 
2757  | rider   |                [9, 10, 11, 12] | (-121.94325484743884, 37.50733865884335) | (-122.1459390779995, 37.433336353966716) | 
2758  | rider   |                       [10, 11] | (-121.93374847844952, 37.5058917570245) | (-122.14785073290898, 37.48047075640252) | 
2759  | driver  |             [8, 9, 10, 11, 12] | (-121.97669381628724, 37.56270977629247) | (-122.08483693631882, 37.372770678756005) | 
2760  | rider   |               [11, 12, 13, 14] | (-121.95450468830994, 37.53049662355854) | (-122.08277671608182, 37.3849596815113) | 
2761  | rider   |                        [9, 10] | (-121.95424810028469, 37.538618485127785) | (-122.11843374120167, 37.48589415815602) | 
2762  | rider   |                   [4, 5, 6, 7] | (-122.0053737335211, 37.561298202625416) | (-122.1419031335142, 37.452287166043874) | 
2763  | driver  |                            [6] | (-121.97642702311938, 37.56162909450876) | (-122.11103768025527, 37.39449389006019) | 
2764  | driver  |                   [6, 7, 8, 9] | (-121.9444097652974, 37.50201539664176) | (-122.14707074768448, 37.45008068735263) | 
2765  | rider   |                        [9, 10] | (-121.95534092561525, 37.53344414810673) | (-122.10283798829647, 37.37910250431723) | 
2766  | rider   |                [4, 5, 6, 7, 8] | (-122.00556337495803, 37.55646940037126) | (-122.1024651353946, 37.39130804717632) | 
2767  | rider   |                       [10, 11] | (-122.00537291771678, 37.55590017620158) | (-122.22353339922762, 37.493585958139825) | 
2768  | driver  |                            [7] | (-121.95213430631645, 37.530021716847266) | (-122.2495747276986, 37.469888550991215) | 
2769  | rider   |                [9, 10, 11, 12] | (-121.94161348433744, 37.503165704001255) | (-122.16423900649222, 37.483111212524314) | 
2770  | rider   |                      [7, 8, 9] | (-121.97926015433742, 37.557489931670936) | (-122.07127722257488, 37.397374473620566) | 
2771  | rider   |                            [7] | (-122.00165377888369, 37.56088748362572) | (-122.23155675962153, 37.493468525724516) | 
2772  | driver  |              [7, 8, 9, 10, 11] | (-121.95408611242172, 37.52858205269714) | (-122.24001269943025, 37.51783699246546) | 
2773  | rider   |                      [7, 8, 9] | (-122.011782935419, 37.559208965548166) | (-122.20976461366386, 37.501091947776615) | 
2774  | rider   |                     [8, 9, 10] | (-121.97669364660855, 37.554449944962215) | (-122.14797675507751, 37.49661865874143) | 
2775  | driver  |                      [6, 7, 8] | (-121.9435115373454, 37.50333666397441) | (-122.27918422268176, 37.49103179852486) | 
2776  | rider   |  [7, 8, 9, 10, 11, 12, 13, 14] | (-121.95374309727495, 37.53242562812693) | (-122.11199849268789, 37.38801316189008) | 
2777  | rider   |                     [8, 9, 10] | (-121.97991136276445, 37.56175326328959) | (-122.14753293668679, 37.465480717881896) | 
2778  | rider   |                           [10] | (-121.95777695953676, 37.530678829782715) | (-122.13121181488883, 37.4936855199669) | 
2779  | rider   |                  [7, 8, 9, 10] | (-122.00170795073701, 37.559262835079025) | (-122.07146430228988, 37.38840356803529) | 
2780  | rider   |                         [7, 8] | (-121.94875121385239, 37.53501736907416) | (-122.1113738882312, 37.402846750493445) | 
2781  | rider   |                      [7, 8, 9] | (-122.007135362965, 37.55156416930461) | (-122.04481263792448, 37.37791089979091) | 
2782  | rider   |        [5, 6, 7, 8, 9, 10, 11] | (-121.94871994877853, 37.53246247524446) | (-122.09125931399504, 37.41835163258509) | 
2783  | driver  |                  [7, 8, 9, 10] | (-121.95582630506058, 37.52640996063276) | (-122.24606765893165, 37.46605818281427) | 
2784  | driver  |                           [10] | (-121.97877480615487, 37.56064557167751) | (-122.08074967719439, 37.38996576357739) | 
2785  | driver  |                           [10] | (-122.00425610682018, 37.561210836856446) | (-122.09987376700255, 37.41961160949382) | 
2786  | driver  |                    [9, 10, 11] | (-121.94961690058251, 37.53185578096634) | (-122.08549795564231, 37.38578612975135) | 
2787  | driver  |                     [8, 9, 10] | (-121.93689533087542, 37.504824350330985) | (-122.16287979905799, 37.467774051240916) | 
2788  | rider   |                        [9, 10] | (-122.00683177504857, 37.557670790027544) | (-122.07091054039087, 37.39159203607223) | 
2789  | driver  |                      [4, 5, 6] | (-121.95169702347467, 37.53480942930951) | (-122.07423732052418, 37.36605052859817) | 
2790  | driver  |                      [5, 6, 7] | (-121.97537165328205, 37.552243497347426) | (-122.2371143904853, 37.490553210189056) | 
2791  | driver  |                         [8, 9] | (-122.01224711632676, 37.56003883812446) | (-122.24556851895667, 37.453337297816965) | 
2792  | rider   |                        [9, 10] | (-121.94969244232415, 37.53258197218139) | (-122.04286721399562, 37.37446888157533) | 
2793  | rider   |               [10, 11, 12, 13] | (-121.95093312301081, 37.53072228369448) | (-122.16697554871988, 37.47662041472395) | 
2794  | driver  |                  [7, 8, 9, 10] | (-121.950158903626, 37.53332267168534) | (-122.07919986512728, 37.35082290587349) | 
2795  | rider   |               [10, 11, 12, 13] | (-121.93626641781475, 37.497771975796695) | (-122.24007815790479, 37.47256132554526) | 
2796  | rider   |                       [10, 11] | (-121.94217368849094, 37.50468776596825) | (-122.23249493898928, 37.4646414048171) | 
2797  | rider   |                         [7, 8] | (-122.0058372642678, 37.56327862219851) | (-122.11296514956595, 37.359501591147925) | 
2798  | rider   |            [5, 6, 7, 8, 9, 10] | (-121.97770925855646, 37.556881941357915) | (-122.23873339183002, 37.50698737100793) | 
2799  | rider   |                        [9, 10] | (-121.97693464144156, 37.557918452087314) | (-122.08092620881358, 37.390637861733964) | 
2800  | rider   |                      [4, 5, 6] | (-122.01054297576664, 37.55940953300669) | (-122.13184702821859, 37.4508156518161) | 
2801  | rider   |                  [7, 8, 9, 10] | (-122.00721422705628, 37.559817081397725) | (-122.062638777613, 37.36391580126123) | 
2802  | driver  |                   [11, 12, 13] | (-122.00938839958204, 37.556151051563376) | (-122.0475459446339, 37.39171986310357) | 
2803  | rider   |                        [9, 10] | (-121.93884720859295, 37.501929103257275) | (-122.15579047242329, 37.47579723935747) | 
2804  | rider   |                         [7, 8] | (-121.93689583411341, 37.503211857339885) | (-122.1520545625532, 37.48050519340737) | 
